strain,r_wt_mean,r_wt_lo,r_wt_hi,r_tc_mean,r_tc_lo,r_tc_hi,log_ratio_mean,log_ratio_lo,log_ratio_hi,p_beneficial
K125,0.38157965342111805,0.36043860353021084,0.40407283981917164,0.3504880749967363,0.331759960245877,0.3715779668345167,-0.08503816100967686,-0.15807429873741466,-0.01329071382751465,0.006666666666666667
K141,0.3539384364999903,0.3331154858935337,0.3754468307510666,0.3728867822390914,0.35355326234369555,0.3934605810122125,0.0522615625718886,-0.0210608440549555,0.13302288995855394,0.91
K168,0.3959907092700184,0.3764203698555837,0.41668711605318387,0.43712485784815786,0.4073412876056058,0.46555638658985204,0.09867182673351813,0.023982842786674178,0.18117746265052398,0.99
K177,0.3450848264278613,0.3193541077049371,0.3666380605495446,0.3184386885782588,0.29845459571628946,0.34320717546670504,-0.08043315334241657,-0.17797228578775165,0.02444195500583667,0.05333333333333334
K200,0.37888066388072306,0.36104826494259395,0.3996934500698409,0.33691932578016914,0.3203756975662318,0.35454156676669696,-0.1173745390232569,-0.18649761221929592,-0.03998978490782745,0.0
K201,0.43239807167962835,0.1417439917376773,1.0577348523737107,0.15772973503419657,0.08368472296527552,0.22494508328474414,-0.8962419197854715,-2.025152729032401,0.2661127177585738,0.05333333333333334
K209,0.4158678911650123,0.38510407085545306,0.44567232904189985,0.4221124542206533,0.38886835876082393,0.45479305430124484,0.0148777063463368,-0.10440960201629657,0.13038903788242556,0.6033333333333334
K213,0.3599016503906903,0.338422416175015,0.38565376828555153,0.4050940537760936,0.37974173900485314,0.4353159538352007,0.11820671828398414,0.018918093214993,0.200277414372876,0.9833333333333333
K216,0.3895927580354943,0.35770155032331163,0.42405172305110805,0.4027664346772838,0.37458989936607123,0.4332092488956624,0.033430503746198575,-0.07155089924831831,0.13563534887943968,0.7066666666666667
K224,0.3780900516828328,0.3503646490534268,0.40331482727703283,0.39200163312133546,0.36994997539645963,0.4130753708989486,0.03628817465115374,-0.05526086969481283,0.12800698611530903,0.7966666666666666
K225,0.3998204079012935,0.3777128905817366,0.4324495227113053,0.39646918960843525,0.3733175080554493,0.42101211703672525,-0.008355781565342724,-0.1230688965678361,0.08159111433453628,0.41333333333333333
K241,0.4817967271468555,0.4429085852036647,0.528197170367207,0.42000724693889185,0.40142351853290936,0.43992665281954024,-0.13642769551026998,-0.251661106911539,-0.04550149297844781,0.0
K248,0.48209460004549914,0.45114935108392495,0.5163239475467684,0.3977398615444596,0.37255375211271324,0.4255409419902161,-0.19229150708430953,-0.28751674151514794,-0.09647481015583559,0.0
K249,0.3497272367794819,0.33206056383516086,0.3658401152825954,0.35695042601890803,0.33696131396466145,0.37547374326345206,0.02037913995876893,-0.05002300375833577,0.09254805027810016,0.7066666666666667
K253,0.40331127645908826,0.384202897530858,0.4220601905593677,0.384448434165723,0.3567325977429439,0.41543910981728616,-0.0483588717809379,-0.13189332537799908,0.05117081460763083,0.17
K257,0.3309343427171561,0.30789075972600416,0.35414624094338387,0.36740888066945465,0.3461796631259393,0.3890107846634172,0.10474171578332707,0.0019307666365952852,0.19219188258641606,0.9733333333333334
K275,0.4204514023083462,0.40038165265884595,0.4427129849049715,0.4037137135695561,0.38786196468140555,0.4201474273328828,-0.04055202661244907,-0.10035808797083925,0.025795272536320413,0.1
K285,0.41279513892935443,0.3861528045668453,0.43834270238202605,0.5012488233749037,0.4651586985013936,0.544110973827133,0.19393825867130152,0.10363547887880807,0.2935726032283392,1.0
K300,0.3626167498494286,0.3331347025967085,0.39419888258950275,0.3568970310743932,0.3268176106399141,0.3857210534916712,-0.01580152543491456,-0.13859418236636734,0.09215120148103173,0.37666666666666665
